,frankenstein,dracula,treasure_island,monte_cristo,republic,communist_manifesto
visited,0.0004896031334600541,8.299673546173851e-05,0.0,0.00013212832302732415,0.0,0.0
tread,8.640055296353897e-05,4.1498367730869255e-05,0.0,3.5234219473953106e-05,0.0,0.0
imprinted,5.760036864235931e-05,0.0,0.0,1.3212832302732414e-05,0.0,0.0
foot,0.0001440009216058983,0.00013832789243623084,0.0005925279111831847,0.00033912936243679864,0.00012503256056264653,0.0
man,0.0038016243303957147,0.00314004315830244,0.007484563088629701,0.005826859045504994,0.006355821828601198,0.0016909029421711193
enticements,5.760036864235931e-05,0.0,0.0,0.0,0.0,0.0
sufficient,0.0005760036864235932,0.00015216068167985393,6.237135907191417e-05,0.00020259676197523035,0.00013545194060953373,0.0
conquer,2.8800184321179656e-05,0.0,0.0,8.808554868488276e-06,1.041938004688721e-05,0.0
fear,0.0011520073728471863,0.0018950921263763626,0.0007796419883989272,0.0006210031182284234,0.0006147434227663454,0.0
danger,0.0003456022118541559,0.0005118132020140541,0.0004365995135033992,0.00016736254250127725,0.00036467830164105237,0.0
death,0.002275214561373193,0.00130028218890057,0.0007484563088629701,0.0012552190687595793,0.0006251628028132326,0.0005072708826513358
induce,0.00011520073728471862,1.3832789243623083e-05,0.0,5.725560664517379e-05,0.0,0.0
commence,0.0003744023961753355,1.3832789243623083e-05,0.0,1.7617109736976553e-05,1.041938004688721e-05,0.0
laborious,8.640055296353897e-05,0.0,3.1185679535957086e-05,8.808554868488276e-06,2.083876009377442e-05,0.0
joy,0.0012096077414895455,0.00022132462789796933,0.00018711407721574253,0.00041400207881894894,6.251628028132327e-05,0.0
child,0.0009792062669201082,0.0010097936147844852,0.0002182997567516996,0.0008720469319803393,0.0003230007814535035,0.00016909029421711193
feels,5.760036864235931e-05,8.299673546173851e-05,0.0,4.844705177668552e-05,7.293566032821047e-05,0.00016909029421711193
embarks,2.8800184321179656e-05,0.0,0.0,0.0,0.0,0.0
