,0
six,0.0
passed,0.0
since,-0.06694678963061322
resolved,-0.06694678963061322
even,-0.06694678963061322
now,-0.06694678963061322
hour,-0.06694678963061322
dedicated,0.17609125905568124
great,-0.06694678963061322
commenced,0.17609125905568124
inuring,0.47712125471966244
body,0.0
hardship,0.30102999566398114
whale,0.17609125905568124
fishers,0.47712125471966244
several,0.0
expeditions,0.17609125905568124
voluntarily,0.0791812460476248
endured,0.0791812460476248
famine,0.0791812460476248
thirst,0.0
want,-0.06694678963061322
sleep,0.0
often,-0.06694678963061322
worked,-0.06694678963061322
harder,0.0
common,-0.06694678963061322
sailors,0.0
devoted,0.0791812460476248
nights,0.0
mathematics,0.17609125905568124
theory,0.0
medicine,0.0
branches,0.0
physical,0.0791812460476248
science,0.0
naval,0.30102999566398114
adventurer,0.30102999566398114
derive,0.17609125905568124
greatest,0.0
practical,0.0
advantage,-0.06694678963061322
twice,0.0
actually,0.0
hired,0.0791812460476248
mate,0.0
greenland,0.30102999566398114
whaler,0.47712125471966244
acquitted,0.17609125905568124
admiration,0.0791812460476248
must,-0.06694678963061322
proud,0.0
captain,0.0
offered,-0.06694678963061322
second,-0.06694678963061322
dignity,0.0
vessel,0.0
entreated,0.17609125905568124
remain,-0.06694678963061322
earnestness,0.0791812460476248
valuable,0.0
consider,-0.06694678963061322
services,0.0791812460476248
deserve,0.0
accomplish,0.0791812460476248
ease,0.0
luxury,0.17609125905568124
preferred,0.0791812460476248
glory,0.0
enticement,0.47712125471966244
wealth,-0.06694678963061322
placed,-0.06694678963061322
path,0.0791812460476248
oh,0.0
encouraging,0.17609125905568124
voice,-0.06694678963061322
answer,0.0
affirmative,0.30102999566398114
courage,0.0
resolution,0.0791812460476248
firm,0.0
hopes,0.0
fluctuate,0.47712125471966244
spirits,-0.06694678963061322
depressed,0.17609125905568124
proceed,0.0791812460476248
long,-0.06694678963061322
difficult,0.0
emergencies,0.30102999566398114
demand,0.0
fortitude,0.17609125905568124
required,-0.06694678963061322
raise,-0.06694678963061322
others,-0.06694678963061322
sometimes,0.0
sustain,0.30102999566398114
failing,0.17609125905568124
favourable,0.0791812460476248
period,0.0
travelling,0.17609125905568124
russia,0.17609125905568124
fly,0.0
quickly,0.0
sledges,0.47712125471966244
motion,-0.06694678963061322
pleasant,0.0
opinion,0.0
agreeable,0.0791812460476248
english,-0.06694678963061322
stagecoach,0.30102999566398114
excessive,0.0791812460476248
wrapped,0.0
furs,0.30102999566398114
dress,0.0
adopted,0.0
difference,0.0791812460476248
walking,0.0
deck,0.0791812460476248
remaining,-0.06694678963061322
seated,0.0
motionless,0.0791812460476248
hours,-0.06694678963061322
exercise,0.0791812460476248
prevents,0.17609125905568124
blood,0.0
freezing,0.30102999566398114
veins,0.0791812460476248
ambition,0.17609125905568124
lose,-0.06694678963061322
post,0.0791812460476248
road,0.0
archangel,0.47712125471966244
depart,0.0791812460476248
latter,0.0
town,-0.06694678963061322
fortnight,0.30102999566398114
three,0.0
weeks,0.0791812460476248
intention,0.0
hire,0.17609125905568124
ship,0.0
easily,-0.06694678963061322
done,-0.06694678963061322
paying,0.0
insurance,0.30102999566398114
owner,-0.06694678963061322
engage,0.0
think,0.0
necessary,-0.06694678963061322
among,-0.06694678963061322
accustomed,0.0
fishing,0.0791812460476248
intend,0.0
sail,0.0791812460476248
month,0.0
june,0.0791812460476248
